ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1040046;DY_URNA 1;aktywna;WIF.OL-4020-31/06;2006-10-10;;;2006-10-10;;;;warmi_sko-mazurskie;Elbl_g;Elbl_g;ul.;Robotnicza;81;83;ELBL_G;82-300;;932703;2861011;18695
1029752;Dy_urna;aktywna;WIIF-GD/8240-Z-133/2002;2002-05-23;;;2002-05-23;;;;POMORSKIE;Gdynia;Gdynia (gmina miejska);pl.;Kaszubski;8;;Gdynia;81-350;;934100;2262011;8185
1030212;Dy_urna;aktywna;220/2003;2003-12-09;;;2003-12-09;;;;pomorskie;Gda_sk;;ul.;Ko_obrzeska;32;;Gda_sk;80-390;;;;
1031079;Dy_urna;aktywna;392/2006;2006-09-25;;;2006-09-25;;;;pomorskie;Gdynia;;ul.;Chwaszczy_ska;21C;;Gdynia;81-571;;;;
1039175;DY_URNA;aktywna;WIF.OL-4020-32/10;2010-12-22;;;2010-12-22;;;;WARMI_SKO-MAZURSKIE;k_trzy_ski;K_trzyn (gmina miejska);ul.;gen. W_adys_awa Sikorskiego;41;;K_trzyn;11-400;K_trzyn;964710;2808011;19907
1046026;DY_URNA;aktywna;14/2010;2010-02-22;;;2010-02-22;;;;WIELKOPOLSKIE;Pozna_;Pozna_-Grunwald (delegatura);ul.;G_ogowska;111;;Pozna_;60-266;POZNA_;969416;3064029;5614
1082676;DY_URNA;aktywna;FAA-490/A/89;1990-02-16;;;1990-03-03;;;;MAZOWIECKIE;Warszawa;_r—dmie_cie (dzielnica);ul.;Filtrowa;62;;Warszawa;02-057;Warszawa;919810;1465108;5015
1086865;DY_URNA;aktywna;WIF.WA.4100/105/10;2010-11-08;;;2010-11-24;;;;MAZOWIECKIE;Warszawa;_r—dmie_cie (dzielnica);ul.;Zgoda;9;;Warszawa;00-018;Warszawa;919810;1465108;26022
1103418;Dy_urna;aktywna;WIF.T.4011-235/1/Z-23/07;2007-05-23;;;2007-06-07;;;;kujawsko-pomorskie;Toru_;Toru_;ul.;Kosynier—w Ko_ciuszkowskich;13;;Toru_;87-100;;982724;463011;9504
1166746;DY_URNA;aktywna;WIF.OL-4020-17/07;2007-05-08;;;2007-05-08;;;;warmi_sko-mazurskie;braniewski;Braniewo;ul.;_eromskiego;14A;;BRANIEWO;14-500;;932710;2802011;26464
1207616;DY_URNA;aktywna;831;2016-07-19;;;2016-07-19;;;;ZACHODNIOPOMORSKIE;Koszalin;Koszalin (gmina miejska);ul.;Rynek Staromiejski;1;;Koszalin;;;949448;3261011;42886
1207862;DY_URNA;aktywna;WIF.WA.II.8520.2.71.2016.DB;2016-07-27;;;2016-08-16;;;;MAZOWIECKIE;m_awski;M_awa (gmina miejska);ul.;_wirki;26;;M_awa;06-500;M_awa;930696;1413011;26600
1175694;DWORSKA;aktywna;45/2014;2014-05-27;;;2014-06-10;;;;WIELKOPOLSKIE;Pozna_;Pozna_-Je_yce (delegatura);ul.;Ko_cielna;39C;19;Pozna_;60-537;POZNA_;969586;3064039;9546
1043749;DWOREK WILKOWICE;aktywna;WIF.PO.A-82405/07/2009;2009-09-24;;;2009-10-11;;;;wielkopolskie;leszczy_ski;Lipno;;;;;WILKOWICE;64-115;;;;
